Sensor: 2S_4289_SN10_smalledge
Date:6/21/2018 11:38:01.7830 AM
Step Size X and Y: 251.6130 and 194.6490
Step Number X and Y: 31 and 37
Calibration X and Y: 11.4500 and 10.8800
Angle: -0.006000
f/e: 55=fiducial, 33=edge
edge: 0=top, 1=left, 2=right, 3=bottom 

edge	filx	fily	pixx	pixy	psx	psy	f/e
0	9	0	286.851440	69.657249	66006	61359	55
0	9	0	198.936478	69.654976	66006	61359	55
3	0	37	91.061905	170.532318	68313	68547	55
3	0	37	141.111298	170.523499	68313	68547	55
3	0	37	43.256340	170.599106	68313	68547	55
3	1	37	163.939423	170.970245	68062	68548	55
3	1	37	251.865082	170.974609	68062	68548	55
3	2	37	57.288692	170.612305	67810	68550	55
3	2	37	145.158371	170.446457	67810	68550	55
3	2	37	233.041443	170.478394	67810	68550	55
3	3	37	128.049820	171.106842	67559	68551	55
3	3	37	40.257423	171.135162	67559	68551	55
3	3	37	303.871155	171.010071	67559	68551	55
3	3	37	215.938644	171.037003	67559	68551	55
3	4	37	109.964981	170.651550	67307	68553	55
3	4	37	22.172176	170.710815	67307	68553	55
3	4	37	197.877274	170.557007	67307	68553	55
3	4	37	285.817261	170.486435	67307	68553	55
3	5	37	91.790039	171.025558	67055	68554	55
3	5	37	179.690613	170.995270	67055	68554	55
3	5	37	267.475372	170.956100	67055	68554	55
3	6	37	74.755722	170.759811	66804	68556	55
3	6	37	162.521927	170.761078	66804	68556	55
3	6	37	250.485809	170.595551	66804	68556	55
3	7	37	56.271046	171.216690	66552	68557	55
3	7	37	231.909348	171.072617	66552	68557	55
3	7	37	144.055817	171.112625	66552	68557	55
3	8	37	39.250050	170.790695	66301	68559	55
3	8	37	214.917923	170.640991	66301	68559	55
3	8	37	127.044373	170.688751	66301	68559	55
3	8	37	302.865387	170.491547	66301	68559	55
3	9	37	109.048897	170.053833	66049	68561	55
3	9	37	21.260916	170.060547	66049	68561	55
3	9	37	196.876175	170.014313	66049	68561	55
3	9	37	284.832153	169.954041	66049	68561	55
3	10	37	90.960274	170.688690	65797	68562	55
3	10	37	178.763336	170.518799	65797	68562	55
